Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
Joginder Sharma,4,0,32,1,8,7,2,1,1,1,2,335993,1,25,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
Ashok Dinda,3,0,25,0,8.33,11,4,0,2,0,1,335993,1,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
Ishant Sharma,3,0,26,0,8.67,10,1,1,1,1,1,335993,1,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
Ajit Agarkar,3,0,19,1,6.33,9,3,0,0,0,1,335993,1,25,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
David Hussey,1,0,10,0,10,2,0,1,0,0,1,335993,1,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
Mohammad Hafeez,2,0,16,0,8,2,0,1,1,0,1,335993,1,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
Murali Kartik,3,0,33,0,11,2,2,2,0,0,1,335993,1,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
Laxmi Shukla,2,0,18,0,9,3,2,0,0,0,1,335993,1,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
RP Singh,4,1,15,2,3.75,18,2,0,2,0,2,335994,1,68,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Nuwan Zoysa,4,0,30,1,7.5,11,3,1,1,1,2,335994,1,25,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Sanjay Bangar,4,0,34,2,8.5,9,4,1,0,0,2,335994,1,50,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Shahid Afridi,4,0,32,2,8,11,1,2,0,1,2,335994,1,50,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Pragyan Ojha,2,0,14,0,7,4,2,0,0,0,2,335994,1,0,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Doddapaneni Kalyankrishna,2,0,23,0,11.5,2,2,1,0,0,2,335994,1,0,Deccan Chargers,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Ashish Nehra,2,0,19,0,9.5,5,4,0,0,0,1,335994,1,0,Mumbai Indians,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Shaun Pollock,2,0,33,0,16.5,3,3,3,0,0,1,335994,1,-6,Mumbai Indians,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Dhawal Kulkarni,1,0,8,0,8,4,2,0,0,0,1,335994,1,0,Mumbai Indians,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Sanath Jayasuriya,2,0,17,0,8.5,4,1,1,0,0,1,335994,1,0,Mumbai Indians,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Siddharth Chitnis,2,0,20,0,10,4,2,1,1,0,1,335994,1,0,Mumbai Indians,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Dwayne Bravo,2,0,31,0,15.5,3,1,3,2,0,1,335994,1,-6,Mumbai Indians,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Abhishek Nayar,1,0,22,0,22,0,0,3,1,0,1,335994,1,0,Mumbai Indians,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,field
Brett Lee,4,0,33,1,8.25,7,5,0,0,0,2,335995,1,25,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Irfan Pathan,4,0,26,2,6.5,8,2,0,3,0,2,335995,1,50,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Sreesanth,2,0,25,0,12.5,2,3,1,0,0,2,335995,1,-6,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Vikram Singh,4,0,29,3,7.25,10,4,0,0,0,2,335995,1,79,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Piyush Chawla,4,0,29,0,7.25,12,3,1,1,0,2,335995,1,0,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Yuvraj Singh,2,0,11,1,5.5,5,1,0,1,0,2,335995,1,25,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Glenn McGrath,4,0,29,1,7.25,12,4,1,0,0,1,335995,1,25,Delhi Capitals,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Mohammad Asif,4,0,39,2,9.75,11,7,0,0,1,1,335995,1,50,Delhi Capitals,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Farveez Maharoof,3,0,31,0,10.33,7,4,1,1,0,1,335995,1,0,Delhi Capitals,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Yo Mahesh,4,0,23,1,5.75,9,2,0,0,0,1,335995,1,25,Delhi Capitals,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Shoaib Malik,3.3,0,32,1,9.14,8,2,1,2,1,1,335995,1,25,Delhi Capitals,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Rajat Bhatia,1,0,5,0,5,2,0,0,1,0,1,335995,1,0,Delhi Capitals,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Capitals,bat
Dale Steyn,4,0,40,0,10,11,6,1,3,0,2,335996,1,0,Royal Challengers Bangalore,Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Zaheer Khan,4,0,38,3,9.5,12,7,1,0,0,2,335996,1,79,Royal Challengers Bangalore,Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Praveen Kumar,4,0,29,1,7.25,8,1,2,0,0,2,335996,1,25,Royal Challengers Bangalore,Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Jacques Kallis,4,0,36,0,9,4,2,1,0,0,2,335996,1,0,Royal Challengers Bangalore,Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Balachandra Akhil,4,0,34,0,8.5,9,1,3,0,0,2,335996,1,0,Royal Challengers Bangalore,Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Jacob Oram,4,0,27,0,6.75,10,2,1,2,0,1,335996,1,0,Chennai Super Kings,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Manpreet Gony,4,0,34,3,8.5,10,4,1,0,0,1,335996,1,79,Chennai Super Kings,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Albie Morkel,4,0,38,1,9.5,6,2,2,3,0,1,335996,1,25,Chennai Super Kings,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Palani  Amarnath,4,0,38,2,9.5,5,5,0,0,0,1,335996,1,50,Chennai Super Kings,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Joginder Sharma,3.4,0,27,2,7.36,5,1,1,1,0,1,335996,1,50,Chennai Super Kings,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bat
Shaun Pollock,4,0,27,2,6.75,11,3,1,0,0,2,335997,1,50,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Ashish Nehra,1,0,9,0,9,3,2,0,0,0,2,335997,1,0,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Dilhara Fernando,4,0,41,1,10.25,8,6,1,2,0,2,335997,1,25,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Dhawal Kulkarni,3,0,15,0,5,9,1,0,1,0,2,335997,1,0,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Dwayne Bravo,4,0,25,1,6.25,11,2,1,1,0,2,335997,1,25,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Sanath Jayasuriya,4,1,14,3,3.5,14,1,0,1,0,2,335997,1,97,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Ajit Agarkar,4,0,23,1,5.75,13,2,0,3,1,1,335997,1,25,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Ishant Sharma,3.4,0,33,1,9,13,6,1,0,0,1,335997,1,25,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Ashok Dinda,4,0,12,1,3,16,1,0,0,0,1,335997,1,31,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Murali Kartik,3,0,24,0,8,9,3,1,1,0,1,335997,1,0,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Mohammad Hafeez,1,0,16,0,16,1,2,0,1,0,1,335997,1,0,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Sourav Ganguly,2,0,14,0,7,1,1,0,0,0,1,335997,1,0,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Laxmi Shukla,1,0,11,0,11,1,2,0,0,0,1,335997,1,0,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Dale Steyn,4,0,29,1,7.25,10,3,0,1,1,2,335998,1,25,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Zaheer Khan,4,0,42,1,10.5,9,7,1,0,0,2,335998,1,25,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Praveen Kumar,4,0,24,0,6,7,2,0,0,0,2,335998,1,0,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Vinay Kumar,2,0,25,0,12.5,1,4,0,0,0,2,335998,1,-6,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Jacques Kallis,4,0,39,2,9.75,6,3,2,0,0,2,335998,1,50,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Virat Kohli,1,0,11,0,11,0,1,0,0,0,2,335998,1,0,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Sunil Joshi,1,0,19,0,19,0,1,2,0,0,2,335998,1,0,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Glenn McGrath,4,0,29,4,7.25,10,3,1,0,0,1,335998,1,108,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Mohammad Asif,4,0,42,0,10.5,8,5,2,0,0,1,335998,1,0,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Yo Mahesh,4,0,28,0,7,8,3,0,0,1,1,335998,1,0,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Daniel Vettori,4,0,19,1,4.75,8,1,0,0,0,1,335998,1,31,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Rajat Bhatia,1,0,14,0,14,1,3,0,0,0,1,335998,1,0,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Shoaib Malik,1,0,8,0,8,3,0,1,0,0,1,335998,1,0,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Virender Sehwag,2,0,30,0,15,1,1,3,0,0,1,335998,1,-6,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,field
Sreesanth,4,0,33,1,8.25,9,5,0,1,0,2,335999,1,25,Punjab Kings,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Irfan Pathan,4,0,30,2,7.5,9,3,1,1,0,2,335999,1,50,Punjab Kings,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Vikram Singh,4,0,34,0,8.5,6,4,0,0,0,2,335999,1,0,Punjab Kings,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Piyush Chawla,4,0,28,3,7,8,2,1,0,0,2,335999,1,79,Punjab Kings,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Gagandeep Singh,4,0,37,1,9.25,10,5,1,0,0,2,335999,1,25,Punjab Kings,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
RP Singh,3.5,0,36,0,9.39,6,5,0,2,0,1,335999,1,0,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Nuwan Zoysa,4,0,32,1,8,10,4,1,0,0,1,335999,1,25,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Shahid Afridi,3,0,28,0,9.33,3,4,0,0,0,1,335999,1,0,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Sanjay Bangar,4,0,26,0,6.5,9,3,0,0,0,1,335999,1,0,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Doddapaneni Kalyankrishna,3,0,34,1,11.33,5,4,1,2,0,1,335999,1,25,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Venugopal Rao,1,0,9,0,9,1,1,0,0,0,1,335999,1,0,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field
Ashok Dinda,4,0,30,0,7.5,11,5,0,2,0,2,336000,1,0,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Ishant Sharma,4,0,26,1,6.5,13,4,0,0,1,2,336000,1,25,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Ajit Agarkar,4,0,46,1,11.5,6,4,3,0,0,2,336000,1,25,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Umar Gul,4,0,31,3,7.75,8,1,1,1,2,2,336000,1,79,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
David Hussey,2,0,26,0,13,1,4,0,0,0,2,336000,1,-6,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Sourav Ganguly,1,0,14,0,14,1,3,0,0,0,2,336000,1,0,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Laxmi Shukla,1,0,16,1,16,1,1,1,0,1,2,336000,1,25,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Shane Watson,3.1,0,22,2,6.95,11,2,1,2,0,1,336000,1,50,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Sohail Tanvir,4,0,30,2,7.5,9,2,1,2,0,1,336000,1,50,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Siddharth Trivedi,4,0,31,2,7.75,8,1,2,2,0,1,336000,1,50,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Munaf Patel,4,0,29,0,7.25,7,1,1,0,0,1,336000,1,0,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Shane Warne,2,0,20,1,10,2,1,1,1,0,1,336000,1,25,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Yusuf Pathan,2,0,14,0,7,4,1,0,0,0,1,336000,1,0,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Glenn McGrath,4,0,21,1,5.25,11,2,0,0,0,2,336001,1,25,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Mohammad Asif,4,0,34,1,8.5,7,5,0,1,0,2,336001,1,25,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Yo Mahesh,4,0,31,1,7.75,13,5,0,0,2,2,336001,1,25,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Pradeep Sangwan,4,0,40,0,10,6,3,2,2,0,2,336001,1,0,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Shoaib Malik,1,0,11,0,11,1,1,0,1,0,2,336001,1,0,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Virender Sehwag,2,0,21,1,10.5,5,1,2,0,0,2,336001,1,25,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Rajat Bhatia,1,0,11,1,11,1,0,1,0,0,2,336001,1,25,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Makhaya Ntini,4,0,29,0,7.25,10,3,1,0,0,1,336001,1,0,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Manpreet Gony,4,0,39,1,9.75,8,3,2,1,0,1,336001,1,25,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Albie Morkel,4,0,40,0,10,7,6,0,1,0,1,336001,1,0,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Joginder Sharma,3,0,35,1,11.67,4,2,2,0,1,1,336001,1,25,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Muttiah Muralitharan,4,0,27,0,6.75,9,2,0,0,1,1,336001,1,0,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
Anil Kumble,4,0,33,1,8.25,12,2,2,1,0,2,336002,1,25,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Dale Steyn,4,0,19,2,4.75,13,2,0,1,0,2,336002,1,56,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Jacques Kallis,1.2,0,19,0,14.25,1,2,1,1,0,2,336002,1,0,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Virat Kohli,3.4,0,25,2,6.82,6,0,1,1,1,2,336002,1,50,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Vinay Kumar,4,0,27,3,6.75,17,4,1,0,1,2,336002,1,79,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Balachandra Akhil,3,0,39,0,13,5,5,2,0,0,2,336002,1,-6,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Chaminda Vaas,4,0,36,1,9,10,7,0,0,0,1,336002,1,25,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
RP Singh,3,0,15,0,5,9,2,0,0,0,1,336002,1,0,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Sanjay Bangar,4,0,30,1,7.5,10,5,0,0,0,1,336002,1,25,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Paidikalva Vijaykumar,4,0,29,0,7.25,9,3,1,0,0,1,336002,1,0,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Venugopal Rao,1,0,18,0,18,0,2,1,0,0,1,336002,1,0,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Dwaraka Ravi Teja,2,0,19,1,9.5,3,0,2,0,0,1,336002,1,25,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Chamara Silva,1,0,21,0,21,0,0,3,0,0,1,336002,1,0,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Ishant Sharma,4,0,41,0,10.25,9,6,1,0,1,2,336003,1,0,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Ajit Agarkar,3,0,26,0,8.67,5,4,0,1,0,2,336003,1,0,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Ashok Dinda,3,0,24,1,8,12,4,1,1,0,2,336003,1,25,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Mohammad Hafeez,3,0,28,1,9.33,5,3,1,0,0,2,336003,1,25,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
David Hussey,3,0,23,1,7.67,8,2,1,0,0,2,336003,1,25,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Umar Gul,4,0,27,2,6.75,9,3,0,2,0,2,336003,1,50,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Sreesanth,4,0,25,2,6.25,13,3,0,1,0,1,336003,1,50,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Irfan Pathan,4,0,18,2,4.5,16,1,1,1,0,1,336003,1,56,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Vikram Singh,4,0,31,1,7.75,6,3,0,0,0,1,336003,1,25,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Gagandeep Singh,4,0,43,1,10.75,6,2,3,0,0,1,336003,1,25,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
James Hopes,3,0,35,0,11.67,4,0,3,0,0,1,336003,1,0,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Piyush Chawla,1,0,16,0,16,2,0,2,0,0,1,336003,1,0,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
Glenn McGrath,4,0,26,0,6.5,11,4,0,0,0,2,336004,1,0,Delhi Capitals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Mohammad Asif,4,0,46,1,11.5,9,4,3,3,0,2,336004,1,25,Delhi Capitals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Yo Mahesh,4,0,33,3,8.25,11,5,1,0,0,2,336004,1,79,Delhi Capitals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Pradeep Sangwan,4,0,21,1,5.25,10,0,1,0,1,2,336004,1,25,Delhi Capitals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Rajat Bhatia,2,0,22,1,11,5,0,3,0,0,2,336004,1,25,Delhi Capitals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Virender Sehwag,1,0,2,1,2,4,0,0,0,0,2,336004,1,25,Delhi Capitals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Shoaib Malik,1,0,6,1,6,3,1,0,0,0,2,336004,1,25,Delhi Capitals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Shaun Pollock,4,0,16,2,4,15,0,1,0,0,1,336004,1,56,Mumbai Indians,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Ashish Nehra,4,0,25,3,6.25,11,2,1,0,0,1,336004,1,79,Mumbai Indians,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Dwayne Bravo,3,0,27,1,9,6,2,1,0,0,1,336004,1,25,Mumbai Indians,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Dhawal Kulkarni,2.5,0,18,2,6.35,8,2,0,0,1,1,336004,1,50,Mumbai Indians,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
Sanath Jayasuriya,1,0,16,0,16,0,0,2,0,0,1,336004,1,0,Mumbai Indians,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field
